Temperature;<-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;>=18
09:30-09:45;1.262252886;1.224002798;1.185752711;1.147502624;1.109252536;1.071002449;1.032752361;0.994502274;0.948602169;0.918002099;0.887402029;0.856801959;0.826201889;0.795601819;0.765001749;0.726174154;0.687346559;0.648518964;0.599368743;0.550218523;0.501068302;0.451918081;0.402767861;0.353617640;0.314888781;0.276159923;0.237431064;0.198702206;0.159973347;0.121244489;0.098574036;0.075903583;0.053233130
09:45-10:00;1.256399876;1.218327152;1.180254429;1.142181705;1.104108982;1.066036258;1.027963535;0.989890811;0.944203543;0.913745364;0.883287185;0.852829006;0.822370828;0.791912649;0.761454470;0.722418212;0.683381953;0.644345695;0.594211922;0.544078149;0.493944375;0.443810602;0.393676829;0.343543056;0.305916570;0.268290085;0.230663600;0.193037115;0.155410629;0.117784144;0.095790106;0.073796068;0.051802030
10:00-10:15;1.248755653;1.210914573;1.173073492;1.135232412;1.097391332;1.059550251;1.021709171;0.983868090;0.938458794;0.908185930;0.877913065;0.847640201;0.817367337;0.787094472;0.756821608;0.717512829;0.678204049;0.638895270;0.588514870;0.538134470;0.487754071;0.437373671;0.386993271;0.336612872;0.299652038;0.262691204;0.225730369;0.188769535;0.151808701;0.114847867;0.092956519;0.071065171;0.049173822
10:15-10:30;1.238470908;1.200941486;1.163412065;1.125882644;1.088353222;1.050823801;1.013294379;0.975764958;0.930729652;0.900706115;0.870682578;0.840659040;0.810635503;0.780611966;0.750588429;0.710912991;0.671237554;0.631562117;0.581117288;0.530672458;0.480227629;0.429782799;0.379337970;0.328893140;0.292686203;0.256479266;0.220272329;0.184065392;0.147858455;0.111651518;0.090871639;0.070091759;0.049311880
10:30-10:45;1.228991777;1.191749602;1.154507427;1.117265252;1.080023076;1.042780901;1.005538726;0.968296551;0.923605941;0.893812201;0.864018461;0.834224721;0.804430981;0.774637241;0.744843501;0.704830127;0.664816753;0.624803379;0.574223974;0.523644568;0.473065163;0.422485757;0.371906352;0.321326947;0.285795948;0.250264949;0.214733950;0.179202951;0.143671952;0.108140953;0.089325354;0.070509756;0.051694157
10:45-11:00;1.222189942;1.185153883;1.148117824;1.111081766;1.074045707;1.037009648;0.999973589;0.962937530;0.918494259;0.888865412;0.859236565;0.829607718;0.799978871;0.770350024;0.740721177;0.700465313;0.660209450;0.619953586;0.568875565;0.517797545;0.466719525;0.415641505;0.364563484;0.313485464;0.278674711;0.243863958;0.209053205;0.174242452;0.139431699;0.104620946;0.087158480;0.069696014;0.052233548
11:00-11:15;1.209781401;1.173121358;1.136461316;1.099801274;1.063141231;1.026481189;0.989821146;0.953161104;0.909169053;0.879841019;0.850512985;0.821184951;0.791856917;0.762528883;0.733200849;0.692502613;0.651804377;0.611106141;0.560680801;0.510255461;0.459830122;0.409404782;0.358979442;0.308554102;0.274089620;0.239625137;0.205160654;0.170696171;0.136231688;0.101767205;0.085104529;0.068441853;0.051779177
11:15-11:30;1.196596663;1.160336158;1.124075653;1.087815149;1.051554644;1.015294139;0.979033634;0.942773129;0.899260523;0.870252119;0.841243715;0.812235311;0.783226907;0.754218503;0.725210099;0.684041819;0.642873539;0.601705259;0.552226215;0.502747172;0.453268128;0.403789085;0.354310041;0.304830997;0.270709678;0.236588358;0.202467038;0.168345718;0.134224398;0.100103078;0.084117863;0.068132649;0.052147434
11:30-11:45;1.186170435;1.150225877;1.114281318;1.078336760;1.042392201;1.006447642;0.970503084;0.934558525;0.891425055;0.862669408;0.833913761;0.805158114;0.776402467;0.747646820;0.718891173;0.677351191;0.635811210;0.594271228;0.545391655;0.496512082;0.447632509;0.398752937;0.349873364;0.300993791;0.267184426;0.233375060;0.199565695;0.165756330;0.131946965;0.098137599;0.082878027;0.067618455;0.052358882
11:45-12:00;1.169837340;1.134387723;1.098938107;1.063488491;1.028038874;0.992589258;0.957139641;0.921690025;0.879150485;0.850790792;0.822431099;0.794071406;0.765711713;0.737352020;0.708992327;0.666870060;0.624747793;0.582625527;0.534798359;0.486971192;0.439144025;0.391316858;0.343489690;0.295662523;0.262406930;0.229151337;0.195895743;0.162640150;0.129384557;0.096128964;0.081679322;0.067229681;0.052780039
12:00-12:15;1.161884914;1.126676280;1.091467646;1.056259013;1.021050379;0.985841745;0.950633111;0.915424478;0.873174117;0.845007210;0.816840303;0.788673396;0.760506489;0.732339582;0.704172675;0.661766899;0.619361123;0.576955348;0.529306495;0.481657642;0.434008789;0.386359936;0.338711084;0.291062231;0.258342185;0.225622139;0.192902093;0.160182047;0.127462001;0.094741955;0.080788496;0.066835036;0.052881577
12:15-12:30;1.157255266;1.122186925;1.087118583;1.052050242;1.016981901;0.981913559;0.946845218;0.911776876;0.869694867;0.841640194;0.813585520;0.785530847;0.757476174;0.729421501;0.701366828;0.658796002;0.616225177;0.573654351;0.525624175;0.477593998;0.429563821;0.381533644;0.333503468;0.285473291;0.253450964;0.221428636;0.189406309;0.157383982;0.125361655;0.093339327;0.079656478;0.065973628;0.052290779
12:30-12:45;1.147777792;1.112996646;1.078215501;1.043434356;1.008653211;0.973872066;0.939090920;0.904309775;0.862572401;0.834747485;0.806922569;0.779097652;0.751272736;0.723447820;0.695622904;0.652714201;0.609805498;0.566896794;0.519024972;0.471153150;0.423281328;0.375409506;0.327537683;0.279665861;0.248222766;0.216779672;0.185336577;0.153893482;0.122450387;0.091007292;0.078043296;0.065079300;0.052115305
